电影名,导演,评分,介绍,图片地址
肖申克的救赎,[': 弗兰克·德拉邦特 Frank Darabont'],9.7,希望让人自由。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,[': 陈凯歌 Kaige Chen'],9.6,风华绝代。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,[': 罗伯特·泽米吉斯 Robert Zemeckis'],9.5,一部美国近现代史。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
这个杀手不太冷,[': 吕克·贝松 Luc Besson'],9.4,怪蜀黍和小萝莉不得不说的故事。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
泰坦尼克号,[': 詹姆斯·卡梅隆 James Cameron'],9.4,失去的才是永恒的。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
美丽人生,[': 罗伯托·贝尼尼 Roberto Benigni'],9.6,最美的谎言。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
千与千寻,[': 宫崎骏 Hayao Miyazaki'],9.4,最好的宫崎骏，最好的久石让。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
辛德勒的名单,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],9.5,拯救一个人，就是拯救整个世界。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
盗梦空间,[': 克里斯托弗·诺兰 Christopher Nolan'],9.3,诺兰给了我们一场无法盗取的梦。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg
忠犬八公的故事,[': 莱塞·霍尔斯道姆 Lasse Hallström'],9.4,永远都不能忘记你所爱的人。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg
星际穿越,[': 克里斯托弗·诺兰 Christopher Nolan'],9.3,爱是一种力量，让我们超越时空感知它的存在。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
楚门的世界,[': 彼得·威尔 Peter Weir'],9.3,如果再也不能见到你，祝你早安，午安，晚安。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
海上钢琴师,[': 朱塞佩·托纳多雷 Giuseppe Tornatore'],9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
三傻大闹宝莱坞,[': 拉库马·希拉尼 Rajkumar Hirani'],9.2,英俊版憨豆，高情商版谢耳朵。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
机器人总动员,[': 安德鲁·斯坦顿 Andrew Stanton'],9.3,小瓦力，大人生。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
放牛班的春天,[': 克里斯托夫·巴拉蒂 Christophe Barratier'],9.3,天籁一般的童声，是最接近上帝的存在。 ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
无间道,[': 刘伟强 / 麦兆辉'],9.3,香港电影史上永不过时的杰作。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
疯狂动物城,[': 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore'],9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
大话西游之大圣娶亲,[': 刘镇伟 Jeffrey Lau'],9.2,一生所爱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,[': 黄东赫 Dong-hyuk Hwang'],9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
教父,[': 弗朗西斯·福特·科波拉 Francis Ford Coppola'],9.3,千万不要记恨你的对手，这样会让你失去理智。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
当幸福来敲门,[': 加布里尔·穆奇诺 Gabriele Muccino'],9.1,平民励志片。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg
龙猫,[': 宫崎骏 Hayao Miyazaki'],9.2,人人心中都有个龙猫，童年就永远不会消失。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
怦然心动,[': 罗伯·莱纳 Rob Reiner'],9.1,真正的幸福是来自内心深处。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
控方证人,[': 比利·怀尔德 Billy Wilder'],9.6,比利·怀德满分作品。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
触不可及,[': 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano'],9.3,满满温情的高雅喜剧。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
蝙蝠侠：黑暗骑士,[': 克里斯托弗·诺兰 Christopher Nolan'],9.2,无尽的黑暗。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
末代皇帝,[': 贝纳尔多·贝托鲁奇 Bernardo Bertolucci'],9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
寻梦环游记,[': 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina'],9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg
活着,[': 张艺谋 Yimou Zhang'],9.3,张艺谋最好的电影。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2524040532.jpg
指环王3：王者无敌,[': 彼得·杰克逊 Peter Jackson'],9.3,史诗的终章。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
乱世佳人,[': 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor'],9.3,Tomorrow is another day.,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
何以为家,[': 娜丁·拉巴基 Nadine Labaki'],9.1,凝视卑弱生命，用电影改变命运。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
哈利·波特与魔法石,[': Chris Columbus'],9.1,童话世界的开端。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg
飞屋环游记,[': 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson'],9.0,最后那些最无聊的事情，才是最值得怀念的。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
素媛,[': 李濬益 Jun-ik Lee'],9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
摔跤吧！爸爸,[': 涅提·蒂瓦里 Nitesh Tiwari'],9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
少年派的奇幻漂流,[': 李安 Ang Lee'],9.1,瑰丽壮观、无人能及的冒险之旅。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
十二怒汉,[': Sidney Lumet'],9.4,1957年的理想主义。 ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
哈尔的移动城堡,[': 宫崎骏 Hayao Miyazaki'],9.1,带着心爱的人在天空飞翔。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
鬼子来了,[': 姜文 Wen Jiang'],9.3,对敌人的仁慈，就是对自己残忍。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
我不是药神,[': 文牧野 Muye Wen'],9.0,对我们国家而言，这样的电影多一部是一部。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
大话西游之月光宝盒,[': 刘镇伟 Jeffrey Lau'],9.0,旷古烁今。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
天空之城,[': 宫崎骏 Hayao Miyazaki'],9.1,对天空的追逐，永不停止。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
闻香识女人,[': 马丁·布莱斯 Martin Brest'],9.1,史上最美的探戈。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
罗马假日,[': 威廉·惠勒 William Wyler'],9.0,爱情哪怕只有一天。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
指环王2：双塔奇兵,[': 彼得·杰克逊 Peter Jackson'],9.1,承前启后的史诗篇章。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
猫鼠游戏,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],9.1,骗子大师和执著警探的你追我跑故事。 ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
天堂电影院,[': 朱塞佩·托纳多雷 Giuseppe Tornatore'],9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
辩护人,[': 杨宇硕 Woo-seok Yang'],9.2,电影的现实意义大过电影本身。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
指环王1：护戒使者,[': 彼得·杰克逊 Peter Jackson'],9.1,传说的开始。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.jpg
大闹天宫,[': 万籁鸣 Laiming Wan'],9.4,经典之作，历久弥新。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
钢琴家,[': 罗曼·波兰斯基 Roman Polanski'],9.2,音乐能化解仇恨。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg
狮子王,[': Roger Allers / 罗伯·明可夫 Rob Minkoff'],9.1,动物版《哈姆雷特》。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg
教父2,[': 弗朗西斯·福特·科波拉 Francis Ford Coppola'],9.2,优雅的孤独。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
死亡诗社,[': 彼得·威尔 Peter Weir'],9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
搏击俱乐部,[': 大卫·芬奇 David Fincher'],9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
黑客帝国,[': 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski'],9.0,视觉革命。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
让子弹飞,[': 姜文 Wen Jiang'],8.9,你给我翻译翻译，神马叫做TMD的惊喜。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
绿皮书,[': 彼得·法雷里 Peter Farrelly'],8.9,去除成见，需要勇气。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
饮食男女,[': 李安 Ang Lee'],9.1,人生不能像做菜，把所有的料都准备好了才下锅。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
美丽心灵,[': 朗·霍华德 Ron Howard'],9.0,爱是一切逻辑和原由。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
海蒂和爷爷,[': 阿兰·葛斯彭纳 Alain Gsponer'],9.2,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
窃听风暴,[': 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck'],9.2,别样人生。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
两杆大烟枪,[': Guy Ritchie'],9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
本杰明·巴顿奇事,[': 大卫·芬奇 David Fincher'],8.9,在时间之河里感受溺水之苦。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
情书,[': 岩井俊二 Shunji Iwai'],8.9,暗恋的极致。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
看不见的客人,[': 奥里奥尔·保罗 Oriol Paulo'],8.8,你以为你以为的就是你以为的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
飞越疯人院,[': 米洛斯·福尔曼 Miloš Forman'],9.1,自由万岁。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
穿条纹睡衣的男孩,[': 马克·赫尔曼 Mark Herman'],9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
西西里的美丽传说,[': 朱塞佩·托纳多雷 Giuseppe Tornatore'],8.9,美丽无罪。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
拯救大兵瑞恩,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],9.0,美利坚精神输出大片No1.,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
小鞋子,[': 马基德·马基迪 Majid Majidi'],9.2,奔跑的孩子是天使。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
音乐之声,[': 罗伯特·怀斯 Robert Wise'],9.1,用音乐化解仇恨，让歌声串起美好。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
阿凡达,[': 詹姆斯·卡梅隆 James Cameron'],8.8,绝对意义上的美轮美奂。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg
海豚湾,[': 路易·西霍尤斯 Louie Psihoyos'],9.3,海豚的微笑，是世界上最高明的伪装。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
致命魔术,[': 克里斯托弗·诺兰 Christopher Nolan'],8.9,孪生蝙蝠侠大战克隆金刚狼。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
美国往事,[': 赛尔乔·莱翁内 Sergio Leone'],9.2,往事如烟，无处祭奠。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
沉默的羔羊,[': 乔纳森·戴米 Jonathan Demme'],8.9,安东尼·霍普金斯的顶级表演。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
禁闭岛,[': Martin Scorsese'],8.8,昔日翩翩少年，今日大腹便便。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
蝴蝶效应,[': 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber'],8.8,人的命运被自己瞬间的抉择改变。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
低俗小说,[': 昆汀·塔伦蒂诺 Quentin Tarantino'],8.9,故事的高级讲法。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
布达佩斯大饭店,[': 韦斯·安德森 Wes Anderson'],8.9,小清新的故事里注入了大历史的情怀。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
心灵捕手,[': 格斯·范·桑特 Gus Van Sant'],8.9,人生中应该拥有这样的一段豁然开朗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
七宗罪,[': 大卫·芬奇 David Fincher'],8.8,警察抓小偷，老鼠玩死猫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
春光乍泄,[': 王家卫 Kar Wai Wong'],8.9,爱情纠缠，男女一致。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
哈利·波特与死亡圣器(下),[': 大卫·叶茨 David Yates'],8.9,10年的完美句点。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
摩登时代,[': 查理·卓别林 Charles Chaplin'],9.3,大时代中的人生，小人物的悲喜。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
喜剧之王,[': 周星驰 Stephen Chow / 李力持 Lik-Chi Lee'],8.8,我是一个演员。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
